slug,name,county,kind,file,heroImage,map_source,zoom,kb
adelphi,"Adelphi",Ross,municipality,hero_columbus_adelphi.webp,/images/columbus-heroes/hero_columbus_adelphi.webp,"exact municipal boundary (US Census TIGER 2019)",16,61
alexandria,"Alexandria",Licking,municipality,hero_columbus_alexandria.webp,/images/columbus-heroes/hero_columbus_alexandria.webp,"exact municipal boundary (US Census TIGER 2019)",15,41
amanda,"Amanda",Fairfield,municipality,hero_columbus_amanda.webp,/images/columbus-heroes/hero_columbus_amanda.webp,"exact municipal boundary (US Census TIGER 2019)",15,53
amlin,"Amlin",Franklin,municipality,hero_columbus_amlin.webp,/images/columbus-heroes/hero_columbus_amlin.webp,"map centred on the place, no boundary published",14,121
ashley,"Ashley",Delaware,municipality,hero_columbus_ashley.webp,/images/columbus-heroes/hero_columbus_ashley.webp,"exact municipal boundary (US Census TIGER 2019)",14,35
ashville,"Ashville",Pickaway,municipality,hero_columbus_ashville.webp,/images/columbus-heroes/hero_columbus_ashville.webp,"exact municipal boundary (US Census TIGER 2019)",14,72
baltimore,"Baltimore",Fairfield,municipality,hero_columbus_baltimore.webp,/images/columbus-heroes/hero_columbus_baltimore.webp,"exact municipal boundary (US Census TIGER 2019)",14,73
blacklick,"Blacklick",Franklin,municipality,hero_columbus_blacklick.webp,/images/columbus-heroes/hero_columbus_blacklick.webp,"exact municipal boundary (US Census TIGER 2019)",14,155
bloomingburg,"Bloomingburg",Fayette,municipality,hero_columbus_bloomingburg.webp,/images/columbus-heroes/hero_columbus_bloomingburg.webp,"exact municipal boundary (US Census TIGER 2019)",15,43
bremen,"Bremen",Fairfield,municipality,hero_columbus_bremen.webp,/images/columbus-heroes/hero_columbus_bremen.webp,"exact municipal boundary (US Census TIGER 2019)",14,76
brice,"Brice",Franklin,municipality,hero_columbus_brice.webp,/images/columbus-heroes/hero_columbus_brice.webp,"exact municipal boundary (US Census TIGER 2019)",16,105
buckeye-lake,"Buckeye Lake",Licking,municipality,hero_columbus_buckeye-lake.webp,/images/columbus-heroes/hero_columbus_buckeye-lake.webp,"exact municipal boundary (US Census TIGER 2019)",14,75
cable,"Cable",Champaign,municipality,hero_columbus_cable.webp,/images/columbus-heroes/hero_columbus_cable.webp,"map centred on the place, no boundary published",14,30
canal-winchester,"Canal Winchester",Franklin,municipality,hero_columbus_canal-winchester.webp,/images/columbus-heroes/hero_columbus_canal-winchester.webp,"exact municipal boundary (US Census TIGER 2019)",13,137
cardington,"Cardington",Morrow,municipality,hero_columbus_cardington.webp,/images/columbus-heroes/hero_columbus_cardington.webp,"exact municipal boundary (US Census TIGER 2019)",14,58
carroll,"Carroll",Fairfield,municipality,hero_columbus_carroll.webp,/images/columbus-heroes/hero_columbus_carroll.webp,"exact municipal boundary (US Census TIGER 2019)",15,66
catawba,"Catawba",Clark,municipality,hero_columbus_catawba.webp,/images/columbus-heroes/hero_columbus_catawba.webp,"exact municipal boundary (US Census TIGER 2019)",16,36
centerburg,"Centerburg",Knox,municipality,hero_columbus_centerburg.webp,/images/columbus-heroes/hero_columbus_centerburg.webp,"exact municipal boundary (US Census TIGER 2019)",14,46
chesterville,"Chesterville",Morrow,municipality,hero_columbus_chesterville.webp,/images/columbus-heroes/hero_columbus_chesterville.webp,"exact municipal boundary (US Census TIGER 2019)",15,30
circleville,"Circleville",Pickaway,municipality,hero_columbus_circleville.webp,/images/columbus-heroes/hero_columbus_circleville.webp,"exact municipal boundary (US Census TIGER 2019)",13,105
clarksburg,"Clarksburg",Ross,municipality,hero_columbus_clarksburg.webp,/images/columbus-heroes/hero_columbus_clarksburg.webp,"exact municipal boundary (US Census TIGER 2019)",16,38
columbus,"Columbus",Franklin,municipality,hero_columbus_columbus.webp,/images/columbus-heroes/hero_columbus_columbus.webp,"exact municipal boundary (US Census TIGER 2019)",10,144
columbus-arena-district,"Columbus Arena District",Franklin,neighborhood,hero_columbus_arena-district.webp,/images/columbus-heroes/hero_columbus_arena-district.webp,"map centred on the place, no boundary published",14,233
columbus-beechwold,"Columbus Beechwold",Franklin,neighborhood,hero_columbus_beechwold.webp,/images/columbus-heroes/hero_columbus_beechwold.webp,"map centred on the place, no boundary published",14,186
columbus-berwick,"Columbus Berwick",Franklin,neighborhood,hero_columbus_berwick.webp,/images/columbus-heroes/hero_columbus_berwick.webp,"boundary from OpenStreetMap",15,158
columbus-bexley,"Columbus Bexley",Franklin,neighborhood,hero_columbus_bexley.webp,/images/columbus-heroes/hero_columbus_bexley.webp,"exact municipal boundary (US Census TIGER 2019)",14,174
columbus-brewery-district,"Columbus Brewery District",Franklin,neighborhood,hero_columbus_brewery-district.webp,/images/columbus-heroes/hero_columbus_brewery-district.webp,"exact municipal boundary (US Census TIGER 2019)",15,204
columbus-clintonville,"Columbus Clintonville",Franklin,neighborhood,hero_columbus_clintonville.webp,/images/columbus-heroes/hero_columbus_clintonville.webp,"exact municipal boundary (US Census TIGER 2019)",13,205
columbus-downtown,"Columbus Downtown",Franklin,neighborhood,hero_columbus_downtown.webp,/images/columbus-heroes/hero_columbus_downtown.webp,"exact municipal boundary (US Census TIGER 2019)",14,226
columbus-eastland,"Columbus Eastland",Franklin,neighborhood,hero_columbus_eastland.webp,/images/columbus-heroes/hero_columbus_eastland.webp,"boundary from OpenStreetMap",14,154
columbus-eastmoor,"Columbus Eastmoor",Franklin,neighborhood,hero_columbus_eastmoor.webp,/images/columbus-heroes/hero_columbus_eastmoor.webp,"boundary from OpenStreetMap",14,163
columbus-easton,"Columbus Easton",Franklin,neighborhood,hero_columbus_easton.webp,/images/columbus-heroes/hero_columbus_easton.webp,"boundary from OpenStreetMap",14,175
